projection_id,block_id,projection_name,hf_module_path,sensitivity_rank,sensitivity_mean,sensitivity_std,digital_nll,digital_ppl,reference_nll,reference_ppl,noisy_nll_mean,noisy_ppl_mean,delta_nll_total_mean,delta_nll_programming_mean,delta_ppl_preprocessing,reference_sigma_normalized,measured_noise_std_absolute,measured_noise_rms_absolute,noise_reference_scale,num_calibration_seeds
block_0/attn.c_attn,block_0,attn.c_attn,transformer.h.0.attn.c_attn,34,0.11981992250334841,0.021241618788765605,3.3675948881333873,29.00867398320851,3.371544902897223,29.12348527759574,3.3717166011906015,29.12849390571186,0.004121713057214027,0.00017169829337841945,0.11481129438723059,1.0,0.014772259630262852,0.014772266708314418,0.014772259630262852,5
block_0/attn.c_proj,block_0,attn.c_proj,transformer.h.0.attn.c_proj,1,11.350339747763249,1.2290048670284572,3.3675948881333873,29.00867398320851,3.7248328834451656,41.464302794360556,3.697353858674299,40.35901373097176,0.32975897054091163,-0.027479024770866722,12.455628811152046,1.0,0.008652560971677303,0.008652574382722378,0.008652560971677303,5
block_0/mlp.c_fc,block_0,mlp.c_fc,transformer.h.0.mlp.c_fc,27,0.2156455889038142,0.02072140678547348,3.3675948881333873,29.00867398320851,3.37477709230129,29.217770189382676,3.375000973328895,29.224319572112325,0.0074060851955073835,0.00022388102760455552,0.20909620617416635,1.0,0.01037383209913969,0.010373835265636445,0.01037383209913969,5
block_0/mlp.c_proj,block_0,mlp.c_proj,transformer.h.0.mlp.c_proj,2,4.496658314707527,0.1565836809423975,3.3675948881333873,29.00867398320851,3.505737352542125,33.30599305923169,3.5116936593072814,33.50533229791604,0.14409877117389422,0.005956306765156327,4.297319076023179,1.0,0.0064656417816877365,0.006465642899274826,0.0064656417816877365,5
block_1/attn.c_attn,block_1,attn.c_attn,transformer.h.1.attn.c_attn,44,0.05735656252573022,0.009332676484155323,3.3675948881333873,29.00867398320851,3.3694840323540474,29.063527348658372,3.3695701055629277,29.066030545734243,0.00197521742954061,8.60732088804994e-05,0.05485336544986197,1.0,0.010136655531823635,0.01013665683567524,0.010136655531823635,5
block_1/attn.c_proj,block_1,attn.c_proj,transformer.h.1.attn.c_proj,20,0.3935577137229167,0.01298089139647131,3.3675948881333873,29.00867398320851,3.3806057711228674,29.38856846830384,3.3810704820899553,29.402231696931427,0.013475593956568055,0.00046471096708788906,0.3798944850953312,1.0,0.0071658680215477945,0.0071658755652606486,0.0071658680215477945,5
block_1/mlp.c_fc,block_1,mlp.c_fc,transformer.h.1.mlp.c_fc,7,1.290026538938735,0.09043304982600832,3.3675948881333873,29.00867398320851,3.4103505286691864,30.27585495476075,3.4111003713368513,30.298700522147243,0.043505483203464215,0.000749842667665046,1.2671809715522393,1.0,0.009772618673741818,0.009772618860006332,0.009772618673741818,5
block_1/mlp.c_proj,block_1,mlp.c_proj,transformer.h.1.mlp.c_proj,9,1.2110609606543832,0.01988350730494876,3.3675948881333873,29.00867398320851,3.4091661164410225,30.240017089526663,3.4084949695081264,30.219734943862893,0.04090008137473937,-0.0006711469328958941,1.2313431063181532,1.0,0.006434262450784445,0.006434262450784445,0.006434262450784445,5
block_2/attn.c_attn,block_2,attn.c_attn,transformer.h.2.attn.c_attn,5,1.7787354935574413,0.03901448679251703,3.3675948881333873,29.00867398320851,3.4261598014489723,30.75829769062868,3.4271050200240163,30.787409476765948,0.05951013189062868,0.0009452185750436825,1.7496237074201701,1.0,0.011323796957731247,0.01132380086928606,0.011323796957731247,5
block_2/attn.c_proj,block_2,attn.c_proj,transformer.h.2.attn.c_proj,33,0.14741466404128117,0.0229575637001591,3.3675948881333873,29.00867398320851,3.3723108922281573,29.1458021027318,3.3726634541720046,29.156088647249796,0.005068566038617206,0.00035256194384718497,0.13712811952328963,1.0,0.006037063710391521,0.0060370716266334055,0.006037063710391521,5
block_2/mlp.c_fc,block_2,mlp.c_fc,transformer.h.2.mlp.c_fc,4,2.481946720853802,0.10601930704845938,3.3675948881333873,29.00867398320851,3.4477286757534125,31.428925896341795,3.449684091280865,31.490620704062316,0.08208920314747817,0.0019554155274529527,2.420251913133285,1.0,0.010043977573513985,0.010044060461223126,0.010043977573513985,5
block_2/mlp.c_proj,block_2,mlp.c_proj,transformer.h.2.mlp.c_proj,6,1.524258107683115,0.01701414613927615,3.3675948881333873,29.00867398320851,3.418577563378119,30.52596287690184,3.418805686547338,30.532932090891627,0.051210798413950265,0.0002281231692187191,1.5172888936933298,1.0,0.006914085429161787,0.006914086453616619,0.006914085429161787,5
