timestep,mean_noise_std,std_noise_std,min_noise_std,max_noise_std,mean_fidelity_score,min_fidelity_score,max_fidelity_score,available_tiles,faulted_tiles,high_fidelity_tiles,medium_fidelity_tiles,low_fidelity_tiles
0,0.02392740225089836,0.007334248580771118,0.012827202548765654,0.03881642267159906,0.5032314686421215,0.2598596001936768,0.7627565717218217,72,0,18,36,18
1,0.023730546774452587,0.007218257904009361,0.012576388254311578,0.03795737965564564,0.5067058183936672,0.2685602727527083,0.7698290557867715,72,0,18,36,18
2,0.023863649860608443,0.0072683670885192375,0.01277123885621711,0.03765806673618768,0.5042183506837697,0.2716819126783358,0.7643353972660362,72,0,18,36,18
3,0.024033467265391368,0.007349090311227104,0.012608166711132992,0.03893241760110568,0.5011095829218206,0.258713467093781,0.7689334961915544,72,0,18,36,18
4,0.02385799614454865,0.0073699031178564725,0.012510792622304302,0.03854783148704265,0.5049287598439993,0.2625394456867849,0.7716770516461684,72,0,18,36,18
5,0.023649024333924084,0.007275484311666667,0.012433620154777645,0.03765197069140651,0.5087814710708806,0.2717459848142626,0.7738501152405806,72,0,18,36,18
6,0.023874231855084145,0.007403787920356151,0.01257378104127706,0.03945026770177802,0.5048067541916466,0.2536776519886665,0.7699025227013252,72,0,19,35,18
7,0.023838451521457082,0.0073695344741971786,0.012559904743899706,0.039690743702396836,0.5053691773248256,0.25138342432716954,0.7702935130983409,72,0,19,35,18
8,0.023981162422042384,0.007432620054563877,0.012607105107277989,0.039943226416845536,0.5027439446037526,0.24900429623716067,0.7689634164215567,72,0,18,36,18
9,0.02410872750821429,0.007507365621012715,0.012402724258167686,0.03981699722271168,0.5005308017205302,0.2501899755583568,0.7747197447754154,72,0,19,35,18
10,0.02413668171045953,0.007478715765139331,0.012354747627064455,0.040072954613148325,0.4997629743884197,0.24779354934102316,0.7760697198025863,72,0,18,36,18
11,0.024112988788242654,0.00749050730708127,0.011840715078848315,0.03981894661959244,0.5002934882197949,0.2501716075676742,0.7904931219719796,72,0,19,35,18
12,0.02409691558100561,0.007548934520239853,0.011589483472717611,0.03996170527316672,0.5009467853925017,0.24883135245931348,0.7975081237077987,72,0,19,35,18
13,0.02427597360374127,0.0075716951592088655,0.012085730215351607,0.039868543521370065,0.4973559310220595,0.24970489006192173,0.7836283884963527,72,0,18,36,18
14,0.02449878699716635,0.007646491785603681,0.012008291480233987,0.04094629268856398,0.4932214116309429,0.23984415462514105,0.7858002603884878,72,0,18,36,18
15,0.024763369883746205,0.007709052729565521,0.012256057953058595,0.04134288141363801,0.488184924457137,0.23634706512764228,0.778844915411853,72,0,18,36,18
16,0.02461099950532451,0.007650902233677584,0.012098594207112557,0.04065187297724907,0.49091713372902707,0.2424853851833304,0.7832674158758535,72,0,18,36,18
17,0.024536062823035134,0.007623699652401297,0.01224646319545233,0.04103778525944711,0.49227045630405386,0.23903124272040882,0.779114590876033,72,0,18,36,18
18,0.02455891220991548,0.007671333722198719,0.012648517454209807,0.041391729728063736,0.49207301093991634,0.23592107641165547,0.7677961127868329,72,0,18,36,18
19,0.024741094026694145,0.007673522123398753,0.01275683558350766,0.04149076447163107,0.4883808630789052,0.2350605953939705,0.7647416743245719,72,0,18,36,18
20,0.024765686602584432,0.0076165123991606964,0.013061072473870316,0.0407332008976641,0.48758066930746913,0.2417519119945906,0.7561554330941396,72,0,18,36,18
21,0.024917683161921795,0.007712996978833901,0.012902057539755221,0.04160225468987533,0.48504243299434396,0.23409694122681846,0.7606442506443325,72,0,18,36,18
22,0.025059740415854168,0.007666706822142313,0.013442784573140043,0.04124114342388364,0.48190903312195943,0.23723761302898844,0.7453764918859918,72,0,18,36,18
23,0.024779520944837822,0.007605495598287451,0.013168813806103285,0.04155373173942441,0.4871762772366265,0.23451568917266674,0.753113186553839,72,0,18,36,18
24,0.02476904888506491,0.00762894879387718,0.013198007610088349,0.041595437376127226,0.48753839667877785,0.2341557130801568,0.752288787216434,72,0,18,36,18
25,0.02481110186773315,0.007602115897247451,0.01306031567419298,0.04128598099848969,0.48653308248551635,0.2368445790051221,0.756176800703971,72,0,18,36,18
26,0.024492777632187032,0.007411348914022473,0.012840264789849717,0.03971579261767609,0.4919388295424931,0.25114603976246247,0.762388012690052,72,0,18,36,18
27,0.02469981157204605,0.007542382973790738,0.01312272950976507,0.040680105432495714,0.4884750196145436,0.24223042722272492,0.7544145051934285,72,0,18,36,18
28,0.024641839475978106,0.007592592447607273,0.012951001585350796,0.0418322634957793,0.4898808396097569,0.23212563813335368,0.7592628175664319,72,0,18,36,18
29,0.024468834041232474,0.007526267470455529,0.012958033611422263,0.04138090943149655,0.4930507961414771,0.2360153472307211,0.7590643238544647,72,0,18,36,18
30,0.024514686444438622,0.007607563979196622,0.012874226784810133,0.042232520185468685,0.4925543262220672,0.22874827341401496,0.7614296689349891,72,0,19,35,18
31,0.024893893225681203,0.007685432836603999,0.013211617358633963,0.04239359148507392,0.4852972689825963,0.22740788636219436,0.7519044575478054,72,0,18,36,18
32,0.02493311956727123,0.007703170957173457,0.01320428057436425,0.042300345679533044,0.4846227095794842,0.22818255131615828,0.7521116435577607,72,0,18,36,18
33,0.024793983287761532,0.00777877026947352,0.012835286934277504,0.043513321120179964,0.48780123345832,0.21837764593290535,0.7625284681174795,72,0,18,36,18
34,0.024828418123253152,0.0077538815362742765,0.012788722410253882,0.04315171086452478,0.48697477319732624,0.22123984939610236,0.7638421986382341,72,0,18,35,19
35,0.025109151283830414,0.007829200523749441,0.012798413664633697,0.04342294515492003,0.4817857822313857,0.21908824645205496,0.7635687990719191,72,0,18,35,19
36,0.025176693663691265,0.007841110397279858,0.01294796453451029,0.043539274974887125,0.48049868593289236,0.2181741576476005,0.7593485434784292,72,0,18,36,18
37,0.02504631374772516,0.007733572488371007,0.012747116597825521,0.04242107176291406,0.48251995623286764,0.22718026526449878,0.7650158051798277,72,0,18,35,19
38,0.02489624445745431,0.00767782142941124,0.012145595118532868,0.04264867527437586,0.4851321307204417,0.225306809909357,0.7819481076581973,72,0,18,35,19
39,0.024894863022513015,0.007718240188136491,0.012259639437791478,0.04280596256752635,0.4854127110476155,0.2240243519050643,0.778744246001711,72,0,19,33,20
40,0.02505616325115901,0.007713281268000859,0.012130667824070138,0.04260250451354735,0.4821173107451408,0.2256851558427455,0.7823671865830625,72,0,18,34,20
41,0.025201321366319956,0.007680671115024418,0.012282296103598099,0.04195960524618901,0.47907516463224176,0.23104386901652013,0.7781073280438313,72,0,18,34,20
42,0.02493926419405586,0.007648496967132589,0.012249043426401169,0.041380937588992715,0.4841931808186821,0.2360151018454035,0.7790420719132198,72,0,18,35,19
43,0.02498313727287561,0.007609388550671961,0.012281765467058297,0.04129277020064721,0.48309936300843886,0.23678514304567908,0.7781222466756181,72,0,18,35,19
44,0.025092799090939876,0.007664927454266355,0.01243507181655949,0.040808615607858235,0.4812538597507971,0.2410744236452376,0.7738092500543102,72,0,18,35,19
45,0.025076619891528873,0.007660937051377352,0.012498624757402177,0.04138762531498481,0.4815762625219363,0.23595682976020413,0.7720197612571121,72,0,18,35,19
46,0.025019903575082103,0.007680424373000127,0.01269626572835556,0.04153917774551871,0.48284957340781987,0.23464148527472745,0.7664498797116572,72,0,18,35,19
47,0.02497989277115671,0.00773423878036223,0.012861824079844236,0.040548462761791255,0.4839857659173297,0.24342232472955397,0.7617796639162469,72,0,18,35,19
48,0.025101432106877472,0.007822502976379087,0.013113300662589282,0.04056775515269089,0.48209079725428833,0.2432471601630685,0.7546807458320497,72,0,18,34,20
49,0.025037775775839988,0.007819689782148179,0.013212246525639413,0.04025867927863145,0.4833709978772521,0.2460738364381512,0.7518866902391301,72,0,18,35,19
50,0.025024256412567582,0.007776507703194972,0.012863325958000138,0.0406210160668171,0.4833699968676978,0.24276445517109035,0.7617372828838048,72,0,18,35,19
51,0.02499458571415791,0.007755595337392312,0.013022734196888356,0.03992511478307821,0.4838259102706043,0.249173958835149,0.7572378418016165,72,0,18,35,19
52,0.02503324899058244,0.007862028251565149,0.01279481906191367,0.04101611547892306,0.483660001640485,0.23922344409102508,0.7636702075802603,72,0,18,35,19
53,0.02502162122867678,0.007846881403889136,0.012726599655062896,0.04198612172765816,0.48373822428943947,0.2308194675442665,0.7655944585286688,72,1,17,36,19
54,0.025070756780603755,0.007763761580862053,0.01297654870126299,0.041810990128610774,0.4822606883637282,0.23230702127870836,0.7585416780870485,72,1,17,37,18
55,0.025219425264222075,0.007743552020955555,0.012992018866650043,0.041952222485303954,0.47915484084086457,0.23110639963608332,0.7581049651392262,72,1,17,37,18
56,0.025307510619962406,0.0077285577785028755,0.012791592933380622,0.04185917078816723,0.4773068068237926,0.23189649195096002,0.7637612196171344,72,1,17,37,18
57,0.02540884504394118,0.007660293080166499,0.01284711289759785,0.041675791090034824,0.47487383738413946,0.2334642477723776,0.7621947817287762,72,2,16,38,18
58,0.025106005360659208,0.007642409507940769,0.012329074167312585,0.042039089226688545,0.4807745977058733,0.23037209871564615,0.7767919016308016,72,2,16,38,18
59,0.025314378341916174,0.007643469824001621,0.012511503125272282,0.04229585136961733,0.47660023153722836,0.2282199791142518,0.7716570393332566,72,2,16,38,18
60,0.025685488769251974,0.007777624453821676,0.012482011029026928,0.041964667896608875,0.4702334680989481,0.2310010025022606,0.7724876416850868,72,4,16,36,20
61,0.02574458850980059,0.007813344520208753,0.01205760931060523,0.04183849547327169,0.46929414593387375,0.2320725385912329,0.7844172999898033,72,4,16,36,20
62,0.025528327242283728,0.007741203332161605,0.012108862479154528,0.04175240176281754,0.47308226011475735,0.23280755250146823,0.7829792442828113,72,4,16,35,21
63,0.025555660913794836,0.007778580354139185,0.012357572439045323,0.04217660652120639,0.47276533274052884,0.22921606733217192,0.7759902495857982,72,4,16,35,21
64,0.025477432563369404,0.007695863286540714,0.012600468102084376,0.041405414873162016,0.47383764092633485,0.235801918421539,0.7691504693495245,72,4,16,36,20
65,0.025380375092719096,0.007651810042915364,0.013003079257454638,0.04049790535732738,0.47553642240461436,0.24388216086409611,0.7577927269387534,72,4,16,36,20
66,0.025431467339064172,0.007649698908664933,0.012814143423593412,0.040712720180414316,0.47449143499630264,0.24193634126796568,0.7631250236927638,72,4,16,36,20
67,0.02553023318263019,0.00766147003471782,0.013059646705824695,0.0414613001978358,0.472654593341766,0.23531615890860486,0.7561956884443287,72,4,16,35,21
68,0.02556495748591466,0.007669502287785287,0.01314083417208524,0.04131446858098569,0.47201818649245414,0.23659531938292394,0.7539032778512245,72,4,16,35,21
69,0.025821080404836366,0.007754629880109843,0.012971125224920452,0.040839147796384416,0.4674816836904989,0.2408008616708007,0.7586947752176657,72,4,16,35,21
70,0.026040638947265517,0.007853755225374182,0.013028652126961297,0.04136825767290881,0.46383198033162265,0.23612563878215806,0.7570707659122009,72,4,16,34,22
71,0.026383501198844046,0.007937161244224823,0.013076797391222401,0.04236868377545838,0.45771631153611403,0.22761446533245952,0.75571144638646,72,5,16,32,24
72,0.026314695371381702,0.007883490575294434,0.012895847955135284,0.041552532671760706,0.4587213345812051,0.2345260497694391,0.7608194992401545,72,5,16,32,24
73,0.026436962065646653,0.007904166363190503,0.012971268918138228,0.0415152848716223,0.45653117700866336,0.23484819824297481,0.7586907189881947,72,5,16,33,23
74,0.02643817796709211,0.007938181551921384,0.013153632422197655,0.04171934168823787,0.4567197760032673,0.23309063272339123,0.7535418827063075,72,5,16,33,23
75,0.02657841604415097,0.007939035513419077,0.01302538672003705,0.04262189760055003,0.45403792499250706,0.22552613461279103,0.7571629556389754,72,5,16,33,23
76,0.02648299857162116,0.007918355887783626,0.01302209882442892,0.042830862597242954,0.4557312078576531,0.2238222347350334,0.7572557796024343,72,5,16,33,23
77,0.026489184545742513,0.007892768225246784,0.01300140952208832,0.0425748209902693,0.45545031072944275,0.2259124209665554,0.7578398646154965,72,5,16,32,24
