tile_id,thermal_zone,initial_fidelity_class,base_noise_std,drift_rate,fault_onset_timestep,fault_noise_increase_fraction,initial_noise_std,final_noise_std,mean_noise_std,max_noise_std,initial_fidelity_score,final_fidelity_score,final_dynamic_fidelity_class,final_available,final_faulted
0,0,medium,0.02453031970186605,0.15753352837384935,,0.0,0.02453031970186605,0.028144761238007465,0.026460782280016516,0.028481554217939416,0.467836636020486,0.40041552833230787,low,True,False
1,0,medium,0.023921219469210348,0.11740422532156831,,0.0,0.023921219469210348,0.026485970730276937,0.025323776753408613,0.02682246770871067,0.4803742418377595,0.4299042202850217,medium,True,False
2,0,medium,0.02213688655035739,0.09083623427677386,,0.0,0.02213688655035739,0.023922195140609913,0.023140757902625746,0.024403517940592447,0.5191151412609175,0.48035388027601406,medium,True,False
3,0,medium,0.024528395086417926,0.0644586443230249,,0.0,0.024528395086417926,0.025859575509781865,0.02531721743879522,0.02659950195660918,0.4678757047406344,0.44167337933707884,medium,True,False
4,0,high,0.01727739505560661,0.18539035948157628,,0.0,0.01727739505560661,0.020304441505289816,0.01887772095835844,0.020537609803743837,0.6392684507426167,0.5620064446935757,medium,True,False
5,0,medium,0.022482400543538804,0.11836644347504167,,0.0,0.022482400543538804,0.0249145195388952,0.023811412981561805,0.02523059503117232,0.5113787404584494,0.4601067112076229,medium,True,False
6,0,medium,0.022026309278079123,0.08035450471928456,,0.0,0.022026309278079123,0.023571826150718563,0.022909729224635928,0.02412446907884571,0.5216148206687881,0.4877234799796525,medium,True,False
7,0,low,0.03617895863656977,0.09589349362259789,,0.0,0.03617895863656977,0.03927970685639565,0.03791109802322439,0.04000792049357691,0.28782583009825596,0.2553217732298186,low,True,False
8,0,low,0.031185722849205653,0.1368829353412844,,0.0,0.031185722849205653,0.035136806945959005,0.03331794385567554,0.03557038815215991,0.35230278260475123,0.2999554542294213,low,True,False
9,0,medium,0.021619577731385498,0.07651591744088476,,0.0,0.021619577731385498,0.02305356689408911,0.022445190379079643,0.0236225054483368,0.5309080083735958,0.4988368583536292,medium,True,False
