timestep,mean_noise_std,std_noise_std,min_noise_std,max_noise_std,mean_fidelity_score,min_fidelity_score,max_fidelity_score,available_tiles,faulted_tiles,high_fidelity_tiles,medium_fidelity_tiles,low_fidelity_tiles
0,0.023860222587423152,0.006768865362067285,0.0127805944205197,0.036937989488227435,0.5014707871198915,0.27938934737503696,0.7640714881768207,64,0,16,32,16
1,0.02398448623243897,0.006841657565504255,0.012810476013195972,0.037457743232012015,0.49926078156741843,0.27379782815898607,0.7632284929982561,64,0,16,32,16
2,0.024082497316636704,0.006903139500154731,0.012845785380554323,0.03786160782217503,0.497546897849076,0.2695539551302517,0.7622322402662063,64,0,16,32,16
3,0.024260872689588237,0.0069392385521249746,0.013023220912155967,0.03796619282641133,0.4940436726266044,0.2684690739404538,0.7572241008654341,64,0,16,32,16
4,0.0242847791737004,0.0068733898533867455,0.013203311691605645,0.03749970603040137,0.493205607447817,0.2733528106356178,0.752139004105304,64,0,16,32,16
5,0.02427740659678017,0.006867877234615276,0.013284619909794432,0.037631511278132974,0.49332393542835773,0.27196116745521115,0.7498428808274642,64,0,16,32,16
6,0.024253982243111816,0.006882047582959444,0.01329151929449301,0.03757838249183613,0.49388719260801506,0.2725209973222157,0.7496480425582774,64,0,16,32,16
7,0.024346038728714374,0.006906371537033554,0.013332523290215934,0.037855910807707394,0.49212032410563966,0.2696132169400479,0.7484900974375442,64,0,16,32,16
8,0.024227458693689096,0.006833603974904639,0.01325662005327878,0.03778229914230298,0.49416925507595516,0.27038048786146346,0.7506335951629469,64,0,16,32,16
9,0.024154661155443007,0.006788887085362912,0.013349084816900132,0.03762763755883778,0.49544424280445065,0.2720019346348319,0.7480224082121779,64,0,16,32,16
10,0.024067998394540928,0.006779330088023885,0.013281354857473624,0.0374383654848932,0.49719743821322837,0.2740036508321846,0.749935085764138,64,0,16,32,16
11,0.024234215621007714,0.0068299394994085745,0.013368359078505223,0.037822153777416025,0.494016778568561,0.2699647181028394,0.7474781185632805,64,0,16,32,16
12,0.024222895513496427,0.006822591589967987,0.013409694260219925,0.03784880598164171,0.49421428495045927,0.269687147184971,0.7463108751406832,64,0,16,32,16
13,0.024319670993924188,0.00683080338662763,0.013433465414314706,0.037871673841190494,0.49227120326449175,0.2694492876910425,0.7456396364428188,64,0,16,32,16
14,0.024302510723366633,0.006816398643502317,0.013385110134578212,0.037736993504586466,0.4925357770181314,0.2708541463501909,0.7470050885786864,64,0,16,32,16
15,0.02433172844585099,0.006839570590545765,0.013484063686847809,0.03807124911256987,0.49205772217041904,0.26738508385269383,0.7442109390751913,64,0,16,32,16
16,0.024136741068060144,0.006759648157851251,0.013384419820411544,0.03796729693317179,0.49565538358702715,0.26845765150248885,0.7470245821007083,64,0,16,32,16
17,0.024003848373651597,0.006733093562290476,0.013213986658958099,0.03789278987449309,0.49827153996869106,0.26922989480504633,0.7518375498577278,64,0,16,32,16
18,0.023973917282034695,0.006797623718359561,0.01312917693306382,0.03745846363115946,0.49924794681915163,0.2737901802772259,0.7542324485200801,64,0,16,32,16
19,0.0242026323391909,0.006939577693104591,0.013132436931049169,0.03786505134354214,0.49525012808102803,0.2695181430439949,0.754140394981467,64,0,16,32,16
20,0.02428958767092547,0.007017913523175583,0.013048751406192117,0.03840168016311609,0.4938746406324369,0.26401302278498207,0.7565033043297184,64,0,16,32,16
21,0.024357358327699398,0.0070436909541024455,0.01301902698728829,0.038499783430790524,0.4926170075497092,0.2630226904209354,0.7573425031825686,64,0,16,32,16
22,0.02429487557142459,0.007011301279929688,0.013003798391452421,0.038381320756741846,0.49373398095148646,0.2642191636925595,0.7577724252767172,64,0,16,32,16
23,0.024378645530701744,0.007029319770171216,0.013129665403682598,0.0384949009361836,0.4921094144950015,0.2630718620342569,0.7542186554534901,64,0,16,32,16
