policy,module_name,shard_id,projection_id,block_id,projection_name,execution_index,tile_id,tier_start,tiers_used,used_rows,used_cols,weights_in_shard,group_total_weights,module_num_weights,shard_weight,sensitivity_score,shard_importance,utilization
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r0c0,embedding/token_embedding,embedding,token_embedding,-100,31,2,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r0c1,embedding/token_embedding,embedding,token_embedding,-100,32,2,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r1c0,embedding/token_embedding,embedding,token_embedding,-100,34,2,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r1c1,embedding/token_embedding,embedding,token_embedding,-100,35,2,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r2c0,embedding/token_embedding,embedding,token_embedding,-100,36,2,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r2c1,embedding/token_embedding,embedding,token_embedding,-100,37,2,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r3c0,embedding/token_embedding,embedding,token_embedding,-100,38,2,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r3c1,embedding/token_embedding,embedding,token_embedding,-100,39,2,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r4c0,embedding/token_embedding,embedding,token_embedding,-100,41,2,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r4c1,embedding/token_embedding,embedding,token_embedding,-100,42,2,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r5c0,embedding/token_embedding,embedding,token_embedding,-100,43,2,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r5c1,embedding/token_embedding,embedding,token_embedding,-100,44,2,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r6c0,embedding/token_embedding,embedding,token_embedding,-100,42,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r6c1,embedding/token_embedding,embedding,token_embedding,-100,31,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r7c0,embedding/token_embedding,embedding,token_embedding,-100,16,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r7c1,embedding/token_embedding,embedding,token_embedding,-100,21,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r8c0,embedding/token_embedding,embedding,token_embedding,-100,36,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r8c1,embedding/token_embedding,embedding,token_embedding,-100,41,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r9c0,embedding/token_embedding,embedding,token_embedding,-100,29,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r9c1,embedding/token_embedding,embedding,token_embedding,-100,20,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r10c0,embedding/token_embedding,embedding,token_embedding,-100,11,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
