module_name,projection_id,block_id,projection_name,execution_index,out_features,in_features,num_weights,group_total_weights,module_weight_fraction,sensitivity_score,module_importance
decoder_stack.layers.0.ffn1,block_0/mlp.c_fc,block_0,mlp.c_fc,2,3072,768,2359296,2359296,1.0,0.18868362312787923,0.18868362312787923
decoder_stack.layers.0.ffn2,block_0/mlp.c_proj,block_0,mlp.c_proj,3,768,3072,2359296,2359296,1.0,4.3899671176778625,4.3899671176778625
decoder_stack.layers.0.k_proj_in,block_0/attn.c_attn,block_0,attn.c_attn,0,768,768,589824,3538944,0.16666666666666666,0.1470328324688417,0.024505472078140283
decoder_stack.layers.0.k_proj_out,block_0/attn.c_attn,block_0,attn.c_attn,0,768,768,589824,3538944,0.16666666666666666,0.1470328324688417,0.024505472078140283
decoder_stack.layers.0.out_proj,block_0/attn.c_proj,block_0,attn.c_proj,1,768,768,589824,589824,1.0,13.285155910503299,13.285155910503299
decoder_stack.layers.0.pos_embedding,embedding/pos_embedding,embedding,pos_embedding,-99,768,12,9216,9216,1.0,0.0,0.0
decoder_stack.layers.0.q_proj_in,block_0/attn.c_attn,block_0,attn.c_attn,0,768,768,589824,3538944,0.16666666666666666,0.1470328324688417,0.024505472078140283
decoder_stack.layers.0.q_proj_out,block_0/attn.c_attn,block_0,attn.c_attn,0,768,768,589824,3538944,0.16666666666666666,0.1470328324688417,0.024505472078140283
decoder_stack.layers.0.token_embedding,embedding/token_embedding,embedding,token_embedding,-100,768,50257,38597376,38597376,1.0,0.0,0.0
decoder_stack.layers.0.v_proj_in,block_0/attn.c_attn,block_0,attn.c_attn,0,768,768,589824,3538944,0.16666666666666666,0.1470328324688417,0.024505472078140283
decoder_stack.layers.0.v_proj_out,block_0/attn.c_attn,block_0,attn.c_attn,0,768,768,589824,3538944,0.16666666666666666,0.1470328324688417,0.024505472078140283
decoder_stack.layers.1.ffn1,block_1/mlp.c_fc,block_1,mlp.c_fc,102,3072,768,2359296,2359296,1.0,1.3606978023251592,1.3606978023251592
decoder_stack.layers.1.ffn2,block_1/mlp.c_proj,block_1,mlp.c_proj,103,768,3072,2359296,2359296,1.0,1.1873178097813302,1.1873178097813302
decoder_stack.layers.1.k_proj_out,block_1/attn.c_attn,block_1,attn.c_attn,100,768,768,589824,1769472,0.3333333333333333,0.042801665961178514,0.014267221987059505
decoder_stack.layers.1.out_proj,block_1/attn.c_proj,block_1,attn.c_proj,101,768,768,589824,589824,1.0,0.3860324129354282,0.3860324129354282
decoder_stack.layers.1.q_proj_out,block_1/attn.c_attn,block_1,attn.c_attn,100,768,768,589824,1769472,0.3333333333333333,0.042801665961178514,0.014267221987059505
decoder_stack.layers.1.v_proj_out,block_1/attn.c_attn,block_1,attn.c_attn,100,768,768,589824,1769472,0.3333333333333333,0.042801665961178514,0.014267221987059505
decoder_stack.layers.10.ffn1,block_10/mlp.c_fc,block_10,mlp.c_fc,1002,3072,768,2359296,2359296,1.0,0.17025076709852627,0.17025076709852627
decoder_stack.layers.10.ffn2,block_10/mlp.c_proj,block_10,mlp.c_proj,1003,768,3072,2359296,2359296,1.0,0.2595205051088385,0.2595205051088385
decoder_stack.layers.10.k_proj_out,block_10/attn.c_attn,block_10,attn.c_attn,1000,768,768,589824,1769472,0.3333333333333333,0.3328436843976377,0.11094789479921256
decoder_stack.layers.10.out_proj,block_10/attn.c_proj,block_10,attn.c_proj,1001,768,768,589824,589824,1.0,0.16221053991670686,0.16221053991670686
