shard_id,projection_id,hf_module_path,sim_module_path,sim_layer,qkv_component,canonical_row_start,canonical_row_end,canonical_col_start,canonical_col_end,tile_id,tier_id,policy,placement_seed,weights_in_shard,weights_in_projection,shard_weight,sensitivity_score
decoder_stack.layers.0.q_proj_in#r0c0,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.q_proj_in,0,Q,0,512,0,512,36,0,random,42,262144,3538944,0.07407407407407407,0.11501689521535212
decoder_stack.layers.0.q_proj_in#r0c1,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.q_proj_in,0,Q,0,512,512,768,37,0,random,42,131072,3538944,0.037037037037037035,0.11501689521535212
decoder_stack.layers.0.q_proj_in#r1c0,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.q_proj_in,0,Q,512,768,0,512,38,0,random,42,131072,3538944,0.037037037037037035,0.11501689521535212
decoder_stack.layers.0.q_proj_in#r1c1,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.q_proj_in,0,Q,512,768,512,768,39,0,random,42,65536,3538944,0.018518518518518517,0.11501689521535212
decoder_stack.layers.0.k_proj_in#r0c0,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.k_proj_in,0,K,768,1280,0,512,2,13,random,42,262144,3538944,0.07407407407407407,0.11501689521535212
decoder_stack.layers.0.k_proj_in#r0c1,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.k_proj_in,0,K,768,1280,512,768,3,13,random,42,131072,3538944,0.037037037037037035,0.11501689521535212
decoder_stack.layers.0.k_proj_in#r1c0,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.k_proj_in,0,K,1280,1536,0,512,4,13,random,42,131072,3538944,0.037037037037037035,0.11501689521535212
decoder_stack.layers.0.k_proj_in#r1c1,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.k_proj_in,0,K,1280,1536,512,768,5,13,random,42,65536,3538944,0.018518518518518517,0.11501689521535212
decoder_stack.layers.0.v_proj_in#r0c0,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.v_proj_in,0,V,1536,2048,0,512,16,12,random,42,262144,3538944,0.07407407407407407,0.11501689521535212
decoder_stack.layers.0.v_proj_in#r0c1,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.v_proj_in,0,V,1536,2048,512,768,17,12,random,42,131072,3538944,0.037037037037037035,0.11501689521535212
decoder_stack.layers.0.v_proj_in#r1c0,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.v_proj_in,0,V,2048,2304,0,512,20,12,random,42,131072,3538944,0.037037037037037035,0.11501689521535212
decoder_stack.layers.0.v_proj_in#r1c1,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.v_proj_in,0,V,2048,2304,512,768,21,12,random,42,65536,3538944,0.018518518518518517,0.11501689521535212
decoder_stack.layers.0.q_proj_out#r0c0,block_0/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.q_proj_out,0,Q,0,512,0,512,36,1,random,42,262144,3538944,0.07407407407407407,0.11501689521535212
decoder_stack.layers.0.q_proj_out#r0c1,block_0/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.q_proj_out,0,Q,0,512,512,768,37,1,random,42,131072,3538944,0.037037037037037035,0.11501689521535212
decoder_stack.layers.0.q_proj_out#r1c0,block_0/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.q_proj_out,0,Q,512,768,0,512,38,1,random,42,131072,3538944,0.037037037037037035,0.11501689521535212
decoder_stack.layers.0.q_proj_out#r1c1,block_0/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.q_proj_out,0,Q,512,768,512,768,39,1,random,42,65536,3538944,0.018518518518518517,0.11501689521535212
decoder_stack.layers.0.k_proj_out#r0c0,block_0/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.k_proj_out,0,K,768,1280,0,512,41,1,random,42,262144,3538944,0.07407407407407407,0.11501689521535212
decoder_stack.layers.0.k_proj_out#r0c1,block_0/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.k_proj_out,0,K,768,1280,512,768,42,1,random,42,131072,3538944,0.037037037037037035,0.11501689521535212
decoder_stack.layers.0.k_proj_out#r1c0,block_0/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.k_proj_out,0,K,1280,1536,0,512,43,1,random,42,131072,3538944,0.037037037037037035,0.11501689521535212
decoder_stack.layers.0.k_proj_out#r1c1,block_0/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.k_proj_out,0,K,1280,1536,512,768,44,1,random,42,65536,3538944,0.018518518518518517,0.11501689521535212
decoder_stack.layers.0.v_proj_out#r0c0,block_0/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.v_proj_out,0,V,1536,2048,0,512,23,4,random,42,262144,3538944,0.07407407407407407,0.11501689521535212
decoder_stack.layers.0.v_proj_out#r0c1,block_0/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.v_proj_out,0,V,1536,2048,512,768,25,4,random,42,131072,3538944,0.037037037037037035,0.11501689521535212
decoder_stack.layers.0.v_proj_out#r1c0,block_0/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.v_proj_out,0,V,2048,2304,0,512,7,4,random,42,131072,3538944,0.037037037037037035,0.11501689521535212
decoder_stack.layers.0.v_proj_out#r1c1,block_0/attn.c_attn,transformer.h.1.attn.c_attn,decoder_stack.layers.0.v_proj_out,0,V,2048,2304,512,768,22,4,random,42,65536,3538944,0.018518518518518517,0.11501689521535212
decoder_stack.layers.0.out_proj#r0c0,block_0/attn.c_proj,transformer.h.0.attn.c_proj,decoder_stack.layers.0.out_proj,0,,0,512,0,512,23,3,random,42,262144,589824,0.4444444444444444,11.531102325972393
decoder_stack.layers.0.out_proj#r0c1,block_0/attn.c_proj,transformer.h.0.attn.c_proj,decoder_stack.layers.0.out_proj,0,,0,512,512,768,25,3,random,42,131072,589824,0.2222222222222222,11.531102325972393
decoder_stack.layers.0.out_proj#r1c0,block_0/attn.c_proj,transformer.h.0.attn.c_proj,decoder_stack.layers.0.out_proj,0,,512,768,0,512,7,3,random,42,131072,589824,0.2222222222222222,11.531102325972393
decoder_stack.layers.0.out_proj#r1c1,block_0/attn.c_proj,transformer.h.0.attn.c_proj,decoder_stack.layers.0.out_proj,0,,512,768,512,768,22,3,random,42,65536,589824,0.1111111111111111,11.531102325972393
decoder_stack.layers.0.ffn1#r0c0,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,,0,512,0,512,55,1,random,42,262144,2359296,0.1111111111111111,0.2078138214733972
decoder_stack.layers.0.ffn1#r0c1,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,,0,512,512,1024,56,1,random,42,262144,2359296,0.1111111111111111,0.2078138214733972
decoder_stack.layers.0.ffn1#r0c2,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,,0,512,1024,1536,57,1,random,42,262144,2359296,0.1111111111111111,0.2078138214733972
decoder_stack.layers.0.ffn1#r0c3,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,,0,512,1536,2048,58,1,random,42,262144,2359296,0.1111111111111111,0.2078138214733972
decoder_stack.layers.0.ffn1#r0c4,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,,0,512,2048,2560,45,13,random,42,262144,2359296,0.1111111111111111,0.2078138214733972
decoder_stack.layers.0.ffn1#r0c5,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,,0,512,2560,3072,33,13,random,42,262144,2359296,0.1111111111111111,0.2078138214733972
decoder_stack.layers.0.ffn1#r1c0,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,,512,768,0,512,19,13,random,42,131072,2359296,0.05555555555555555,0.2078138214733972
decoder_stack.layers.0.ffn1#r1c1,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,,512,768,512,1024,59,13,random,42,131072,2359296,0.05555555555555555,0.2078138214733972
decoder_stack.layers.0.ffn1#r1c2,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,,512,768,1024,1536,46,13,random,42,131072,2359296,0.05555555555555555,0.2078138214733972
decoder_stack.layers.0.ffn1#r1c3,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,,512,768,1536,2048,9,13,random,42,131072,2359296,0.05555555555555555,0.2078138214733972
decoder_stack.layers.0.ffn1#r1c4,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,,512,768,2048,2560,40,13,random,42,131072,2359296,0.05555555555555555,0.2078138214733972
decoder_stack.layers.0.ffn1#r1c5,block_0/mlp.c_fc,transformer.h.0.mlp.c_fc,decoder_stack.layers.0.ffn1,0,,512,768,2560,3072,18,13,random,42,131072,2359296,0.05555555555555555,0.2078138214733972
decoder_stack.layers.0.ffn2#r0c0,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,,0,512,0,512,14,2,random,42,262144,2359296,0.1111111111111111,4.487542215682108
decoder_stack.layers.0.ffn2#r0c1,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,,0,512,512,768,15,2,random,42,131072,2359296,0.05555555555555555,4.487542215682108
decoder_stack.layers.0.ffn2#r1c0,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,,512,1024,0,512,16,2,random,42,262144,2359296,0.1111111111111111,4.487542215682108
decoder_stack.layers.0.ffn2#r1c1,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,,512,1024,512,768,17,2,random,42,131072,2359296,0.05555555555555555,4.487542215682108
decoder_stack.layers.0.ffn2#r2c0,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,,1024,1536,0,512,20,2,random,42,262144,2359296,0.1111111111111111,4.487542215682108
decoder_stack.layers.0.ffn2#r2c1,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,,1024,1536,512,768,21,2,random,42,131072,2359296,0.05555555555555555,4.487542215682108
decoder_stack.layers.0.ffn2#r3c0,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,,1536,2048,0,512,24,2,random,42,262144,2359296,0.1111111111111111,4.487542215682108
decoder_stack.layers.0.ffn2#r3c1,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,,1536,2048,512,768,26,2,random,42,131072,2359296,0.05555555555555555,4.487542215682108
decoder_stack.layers.0.ffn2#r4c0,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,,2048,2560,0,512,27,2,random,42,262144,2359296,0.1111111111111111,4.487542215682108
decoder_stack.layers.0.ffn2#r4c1,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,,2048,2560,512,768,28,2,random,42,131072,2359296,0.05555555555555555,4.487542215682108
decoder_stack.layers.0.ffn2#r5c0,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,,2560,3072,0,512,29,2,random,42,262144,2359296,0.1111111111111111,4.487542215682108
decoder_stack.layers.0.ffn2#r5c1,block_0/mlp.c_proj,transformer.h.0.mlp.c_proj,decoder_stack.layers.0.ffn2,0,,2560,3072,512,768,30,2,random,42,131072,2359296,0.05555555555555555,4.487542215682108
