shard_id,projection_id,hf_module_path,sim_module_path,sim_layer,target_gpt2_block,qkv_component,sim_input_start,sim_input_end,sim_output_start,sim_output_end,canonical_row_start,canonical_row_end,canonical_col_start,canonical_col_end,tile_id,tier_id,policy,placement_seed,weights_in_shard,weights_in_projection,shard_weight,sensitivity_score
decoder_stack.layers.0.q_proj_in#r0c0,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.q_proj_in,0,0,Q,0,512,0,512,0,512,0,512,0,3,random,42,262144,1769472,0.14814814814814814,0.11981992250334841
decoder_stack.layers.0.q_proj_in#r0c1,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.q_proj_in,0,0,Q,0,512,512,768,512,768,0,512,1,3,random,42,131072,1769472,0.07407407407407407,0.11981992250334841
decoder_stack.layers.0.q_proj_in#r1c0,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.q_proj_in,0,0,Q,512,768,0,512,0,512,512,768,2,3,random,42,131072,1769472,0.07407407407407407,0.11981992250334841
decoder_stack.layers.0.q_proj_in#r1c1,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.q_proj_in,0,0,Q,512,768,512,768,512,768,512,768,3,3,random,42,65536,1769472,0.037037037037037035,0.11981992250334841
decoder_stack.layers.0.k_proj_in#r0c0,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.k_proj_in,0,0,K,0,512,0,512,768,1280,0,512,21,5,random,42,262144,1769472,0.14814814814814814,0.11981992250334841
decoder_stack.layers.0.k_proj_in#r0c1,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.k_proj_in,0,0,K,0,512,512,768,1280,1536,0,512,22,5,random,42,131072,1769472,0.07407407407407407,0.11981992250334841
decoder_stack.layers.0.k_proj_in#r1c0,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.k_proj_in,0,0,K,512,768,0,512,768,1280,512,768,23,5,random,42,131072,1769472,0.07407407407407407,0.11981992250334841
decoder_stack.layers.0.k_proj_in#r1c1,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.k_proj_in,0,0,K,512,768,512,768,1280,1536,512,768,24,5,random,42,65536,1769472,0.037037037037037035,0.11981992250334841
decoder_stack.layers.0.v_proj_in#r0c0,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.v_proj_in,0,0,V,0,512,0,512,1536,2048,0,512,25,5,random,42,262144,1769472,0.14814814814814814,0.11981992250334841
decoder_stack.layers.0.v_proj_in#r0c1,block_0/attn.c_attn,transformer.h.0.attn.c_attn,decoder_stack.layers.0.v_proj_in,0,0,V,0,512,512,768,2048,2304,0,512,26,5,random,42,131072,1769472,0.07407407407407407,0.11981992250334841
