projection_id,role,block_index,sensitivity_isolated,sensitivity_loo_mean,sensitivity_loo_std,sensitivity_loo_sem
block_0/attn.c_attn,attn.c_attn,0,0.02326303048388949,0.0056769930586522575,0.002110623147584747,0.0009438993665768132
block_0/attn.c_proj,attn.c_proj,0,0.03395639290044326,0.011716882063417967,0.004345457201016228,0.0019433475389576504
block_0/mlp.c_fc,mlp.c_fc,0,0.008411651678046184,0.00373083669312142,0.002166576128551266,0.0009689223003737906
block_0/mlp.c_proj,mlp.c_proj,0,0.004650676593858894,0.003739041211653671,0.001052737156262402,0.0004707983687685099
block_1/attn.c_attn,attn.c_attn,1,0.007473706414179837,0.003763256754193911,0.002405941033710313,0.0010759695402464747
block_1/attn.c_proj,attn.c_proj,1,0.0019332768985765192,0.00012924281918280656,0.001903956500809241,0.0008514752324024191
block_1/mlp.c_fc,mlp.c_fc,1,0.01126767499947281,0.003100858415876129,0.0025888553536249745,0.00115777131092394
block_1/mlp.c_proj,mlp.c_proj,1,0.0014732343179211683,0.0037173164134121973,0.0023253952789095934,0.0010399483836397868
block_2/attn.c_attn,attn.c_attn,2,0.02320170078748527,0.006657706474771263,0.004233114136746451,0.0018931061932560807
block_2/attn.c_proj,attn.c_proj,2,0.0012105147043860675,0.0013241320240253707,0.0010886625888525863,0.0004868647106470575
block_2/mlp.c_fc,mlp.c_fc,2,0.0060557236887299306,0.004334542702655364,0.0024428633748741673,0.001092481713192638
block_2/mlp.c_proj,mlp.c_proj,2,0.006194448961642607,0.001675004375224143,0.0018151039066748918,0.0008117391443100984
block_3/attn.c_attn,attn.c_attn,3,0.02684886710633929,0.006186431281420513,0.003561571495769104,0.0015927831942530641
block_3/attn.c_proj,attn.c_proj,3,0.001327990798793266,0.0007977947896839587,0.000817914177044799,0.0003657823399265937
block_3/mlp.c_fc,mlp.c_fc,3,0.006037674028686801,0.004120333827271683,0.0013414706090595831,0.0005999238943350546
block_3/mlp.c_proj,mlp.c_proj,3,0.0022853460822085834,0.0017112887635522878,0.0008706013120796878,0.0003893447430221381
block_4/attn.c_attn,attn.c_attn,4,0.02012337549233143,0.005444635177145107,0.0014805143702125623,0.0006621061546921158
block_4/attn.c_proj,attn.c_proj,4,0.0010515039349779265,0.0005338649360500103,0.0007336293041099519,0.00032808899885514365
block_4/mlp.c_fc,mlp.c_fc,4,0.004889906188588089,0.0022559944464234593,0.00035067715482894174,0.00015682759127074646
block_4/mlp.c_proj,mlp.c_proj,4,0.0021567145492803696,0.0012397878024042797,0.0006087457384675826,0.00027223937044536467
block_5/attn.c_attn,attn.c_attn,5,0.01767361340699374,0.004218941805313925,0.0010330276973144685,0.0004619840307670457
block_5/attn.c_proj,attn.c_proj,5,0.0012883420834324255,0.0002528691778377112,0.0004137954696844297,0.00018505495979916764
block_5/mlp.c_fc,mlp.c_fc,5,0.007711828588948766,0.00215750665080785,0.0006310244460486431,0.0002822027113657829
block_5/mlp.c_proj,mlp.c_proj,5,0.002125750255192216,0.0013266641266490796,0.0007491386121679173,0.0003350249722754628
block_6/attn.c_attn,attn.c_attn,6,0.010885350105693536,0.00420980307520642,0.0018265761323576616,0.0008168696796060768
block_6/attn.c_proj,attn.c_proj,6,0.0008300864647444506,0.0006868620308077223,0.0005586033490418416,0.00024981501218331997
block_6/mlp.c_fc,mlp.c_fc,6,0.005175034499462683,0.0015997414686241829,0.0005677568339568628,0.0002539085750835212
block_6/mlp.c_proj,mlp.c_proj,6,0.001991293067304234,0.0012735026223318346,0.0007789827973061844,0.00034837169761591365
block_7/attn.c_attn,attn.c_attn,7,0.0070335510826897265,0.0039279324667794045,0.0009515678640944316,0.00042555408586388607
block_7/attn.c_proj,attn.c_proj,7,0.0006839649176892948,0.000661626640631141,0.0002569484795745131,0.0001149108534087655
block_7/mlp.c_fc,mlp.c_fc,7,0.0035199899241759704,0.0016726138640422495,0.00032787460047559066,0.00014662997895180111
block_7/mlp.c_proj,mlp.c_proj,7,0.001654491110593348,0.0014806392241496712,0.0006134029594253076,0.0002743221429749066
