seed,policy,t,r,nll
41,random,0,0,3.653962726661381
41,sequential,0,0,3.640775366923288
41,hardware_only,0,0,3.642722662204483
41,static_sensitivity,0,0,3.586423775628476
41,random,0,1,3.650154177006
41,sequential,0,1,3.636043755384329
41,hardware_only,0,1,3.6357933996398817
41,static_sensitivity,0,1,3.5927402631356298
41,random,0,2,3.657342766348179
41,sequential,0,2,3.650692298848142
41,hardware_only,0,2,3.6403764952040913
41,static_sensitivity,0,2,3.5909548002331917
41,random,30,0,3.66583312455044
41,sequential,30,0,3.655800922797145
41,hardware_only,30,0,3.657424780630296
41,static_sensitivity,30,0,3.5911065446860473
41,random,30,1,3.6614123946022388
41,sequential,30,1,3.6505212459085663
41,hardware_only,30,1,3.6464018676443337
41,static_sensitivity,30,1,3.5965878433651395
41,random,30,2,3.6675268441545494
41,sequential,30,2,3.668305890961787
41,hardware_only,30,2,3.652249348206332
41,static_sensitivity,30,2,3.5980709120364174
41,random,60,0,3.716465253556501
41,sequential,60,0,3.687033563531855
41,hardware_only,60,0,3.697168478401758
41,static_sensitivity,60,0,3.6207394975915177
41,random,60,1,3.7046577229722
41,sequential,60,1,3.679696719706272
41,hardware_only,60,1,3.6827912040081503
41,static_sensitivity,60,1,3.6255885930898795
41,random,60,2,3.712268597763499
41,sequential,60,2,3.6968742826933503
41,hardware_only,60,2,3.6882423089823844
41,static_sensitivity,60,2,3.623069753783578
41,random,90,0,3.7592960198720298
41,sequential,90,0,3.7209296525592874
41,hardware_only,90,0,3.7313230704235774
41,static_sensitivity,90,0,3.6733174947854867
41,random,90,1,3.7447342317164156
41,sequential,90,1,3.7105687818219586
41,hardware_only,90,1,3.711241992998294
41,static_sensitivity,90,1,3.6739516830786156
41,random,90,2,3.748296573597898
41,sequential,90,2,3.733200246715204
41,hardware_only,90,2,3.721833752902178
41,static_sensitivity,90,2,3.6671576149574743
41,random,119,0,3.789981543804155
41,sequential,119,0,3.755901724634205
41,hardware_only,119,0,3.762853494254492
41,static_sensitivity,119,0,3.6959385102795017
41,random,119,1,3.772808785079628
41,sequential,119,1,3.7414637560485513
41,hardware_only,119,1,3.7386345726614785
41,static_sensitivity,119,1,3.6949721074873403
41,random,119,2,3.776393252034341
41,sequential,119,2,3.766987397252018
41,hardware_only,119,2,3.7494956387413874
41,static_sensitivity,119,2,3.6887563454207553
42,random,0,0,3.6371133293302256
42,sequential,0,0,3.640052979137735
42,hardware_only,0,0,3.6157417904091567
42,static_sensitivity,0,0,3.589381787084764
42,random,0,1,3.6438479483341233
42,sequential,0,1,3.644221539138466
42,hardware_only,0,1,3.6282999447169697
42,static_sensitivity,0,1,3.5898909303877087
42,random,0,2,3.6290083794610903
42,sequential,0,2,3.632103118417938
42,hardware_only,0,2,3.6041872621009854
42,static_sensitivity,0,2,3.574487703248164
42,random,30,0,3.6508295424950163
42,sequential,30,0,3.6547376536981178
42,hardware_only,30,0,3.6255263487497964
42,static_sensitivity,30,0,3.596284376677646
42,random,30,1,3.6578207485991996
42,sequential,30,1,3.657859848391625
42,hardware_only,30,1,3.6416572362291344
42,static_sensitivity,30,1,3.599007387742347
42,random,30,2,3.642630406178027
42,sequential,30,2,3.646652584007564
42,hardware_only,30,2,3.6158028195835783
42,static_sensitivity,30,2,3.5826842494335653
42,random,60,0,3.6795029648743225
42,sequential,60,0,3.7076294285422158
42,hardware_only,60,0,3.6494311696739605
42,static_sensitivity,60,0,3.6155207968954546
42,random,60,1,3.6852081138173314
42,sequential,60,1,3.7046529828006647
42,hardware_only,60,1,3.667274898952908
42,static_sensitivity,60,1,3.6179444644613503
42,random,60,2,3.674351685363332
42,sequential,60,2,3.7054591324167014
42,hardware_only,60,2,3.644168907596219
42,static_sensitivity,60,2,3.6036479430386668
42,random,90,0,3.731317537232539
42,sequential,90,0,3.754453944476275
42,hardware_only,90,0,3.6937705744124654
42,static_sensitivity,90,0,3.648853403693032
42,random,90,1,3.740060926765524
42,sequential,90,1,3.7609754044522523
42,hardware_only,90,1,3.711099822034118
42,static_sensitivity,90,1,3.640906007486432
42,random,90,2,3.7339342734292416
42,sequential,90,2,3.760889555818291
42,hardware_only,90,2,3.687007240924357
42,static_sensitivity,90,2,3.6339919071470965
42,random,119,0,3.761306034621372
42,sequential,119,0,3.7923448974513665
